desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine,valor_metro
2 Dormitorios en Ituzaingo,60000,59,https://www.gallito.com.uy/linda-casa-a-pasos-del-hipodromo-inmuebles-19385900,-34.84306,-56.14551,2 Dormitorios,Ituzaingo,Ituzaingó,22.0,1016.9491525423729
2 Dormitorios en Jacinto Vera,60000,85,https://www.gallito.com.uy/nuda-propiedad-en-venta-usufructo-temporal-de-10-años-inmuebles-17715913,,,2 Dormitorios,Jacinto Vera,Jacinto Vera,44.0,705.8823529411765
2 Dormitorios en Manga,61000,59,https://www.gallito.com.uy/venta-casa-2-dorm-metros-avenida-belloni-patio-inmuebles-19297087,-34.80716,-56.13619,2 Dormitorios,Manga,Manga,62.0,1033.8983050847457
3 Dormitorios en Las Acacias,61000,70,https://www.gallito.com.uy/bajo-de-precio-padron-unico-inmuebles-17516457,-34.8413,-56.15242,3 Dormitorios,Las Acacias,Las Acacias,28.0,871.4285714285714
1 Dormitorio en Aires Puros,62000,48,https://www.gallito.com.uy/ifer&olivera-mansavillagra-esq-propios-inmuebles-18488988,-34.85244,-56.18261,1 Dormitorio,Aires Puros,Aires Puros,29.0,1291.6666666666667
4 Dormitorios en Cno. Maldonado,62000,92,https://www.gallito.com.uy/2-casas-en-mismo-padron-en-cno-maldonado-km-19-inmuebles-15701377,-34.78468,-56.06195,4 Dormitorios,Cno. Maldonado,Colón Centro y Noroeste,59.0,673.9130434782609
2 Dormitorios en Villa Española,62000,80,https://www.gallito.com.uy/larravide-y-agaces-inmuebles-12784661,,,2 Dormitorios,Villa Española,Villa Española,24.0,775.0
2 Dormitorios en Nuevo Paris,62000,95,https://www.gallito.com.uy/oportunidad-texera-y-coronilla-prox-a-garzon-inmuebles-16821244,-34.84077,-56.22421,2 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0,652.6315789473684
1 Dormitorio en J. Hipodromo,63000,107,https://www.gallito.com.uy/casa-y-2-aptos-a-reciclar-en-locarno-y-acropolis-inmuebles-16390314,-34.83764,-56.13027,1 Dormitorio,J. Hipodromo,Jardines del Hipódromo,21.0,588.7850467289719
2 Dormitorios en La Teja,63000,90,https://www.gallito.com.uy/con-patio-cocina-office-cparrillero-la-teja-proximo-a-inmuebles-19353238,-34.87,-56.23099,2 Dormitorios,La Teja,La Teja,38.0,700.0
2 Dormitorios en Union,63000,67,https://www.gallito.com.uy/vende-casa-2-dormitorios-y-azotea-a-reciclar-ideal-renta-inmuebles-18603770,-34.87166,-56.13866,2 Dormitorios,Union,Unión,23.0,940.2985074626865
3 Dormitorios en Peñarol,64000,70,https://www.gallito.com.uy/casa-en-alquiler-yo-venta-inmuebles-19398338,-34.81558,-56.20744,3 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0,914.2857142857143
3 Dormitorios en Otro,64500,81,https://www.gallito.com.uy/casa-3-dormitorios-recien-reciclada-inmuebles-18678088,-34.85268,-56.1577,3 Dormitorios,Otro,,,796.2962962962963
1 Dormitorio en La Comercial,64500,33,https://www.gallito.com.uy/venta-apartamento-con-patio-1-dormitorio-la-comercial-inmuebles-19985020,-34.88371,-56.18104,1 Dormitorio,La Comercial,La Comercial,49.0,1954.5454545454545
2 Dormitorios en Ituzaingo,65000,100,https://www.gallito.com.uy/casa-con-jardin-patio-y-cochera-inmuebles-16223958,,,2 Dormitorios,Ituzaingo,Ituzaingó,22.0,650.0
2 Dormitorios en Sayago,65000,140,https://www.gallito.com.uy/venta-de-dos-casas-una-alquilada-inmuebles-12942276,-34.81605,-56.23028,2 Dormitorios,Sayago,Sayago,52.0,464.2857142857143
2 Dormitorios en Peñarol,65000,45,https://www.gallito.com.uy/casa-de-2-dormitorios-con-lugar-para-el-auto-no-acepa-banco-inmuebles-20007246,-34.82059,-56.20331,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0,1444.4444444444443
2 Dormitorios en J. Hipodromo,65000,65,https://www.gallito.com.uy/casa-alquilada-dos-dormitorios-con-entrega-uss-35000-mas-inmuebles-18793436,-34.84244,-56.14904,2 Dormitorios,J. Hipodromo,Jardines del Hipódromo,21.0,1000.0
3 Dormitorios en Union,65000,80,https://www.gallito.com.uy/excelente-negocio-para-inversion-inmuebles-19575931,,,3 Dormitorios,Union,Unión,23.0,812.5
2 Dormitorios en Sayago,65000,120,https://www.gallito.com.uy/casa-en-venta-en-conciliacion-inmuebles-15638505,-34.81745,-56.2317,2 Dormitorios,Sayago,Sayago,52.0,541.6666666666666
