desc,valor,metraje,dormitorios,barrio
4 Dormitorios en Parque Miramar,440000,225.0,4 Dormitorios,Parque Miramar
4 Dormitorios en Carrasco,440000,300.0,4 Dormitorios,Carrasco
4 Dormitorios en Carrasco Norte,440000,287.0,4 Dormitorios,Carrasco Norte
3 Dormitorios en Pocitos,440000,170.0,3 Dormitorios,Pocitos
Más de 4 dormitorios en Bella Vista,440000,335.0,Más de 4 dormitorios,Bella Vista
4 Dormitorios en Carrasco,440000,287.0,4 Dormitorios,Carrasco
4 Dormitorios en Aires Puros,445000,269.0,4 Dormitorios,Aires Puros
Más de 4 dormitorios en Punta Gorda,448000,273.0,Más de 4 dormitorios,Punta Gorda
2 Dormitorios en Pocitos Nuevo,449000,125.0,2 Dormitorios,Pocitos Nuevo
4 Dormitorios en Union,449000,490.0,4 Dormitorios,Union
2 Dormitorios en Puerto Buceo,449000,125.0,2 Dormitorios,Puerto Buceo
3 Dormitorios en Buceo,450000,163.0,3 Dormitorios,Buceo
Más de 4 dormitorios en La Blanqueada,450000,177.0,Más de 4 dormitorios,La Blanqueada
4 Dormitorios en Punta Carretas,450000,100.0,4 Dormitorios,Punta Carretas
Más de 4 dormitorios en Malvin,450000,248.0,Más de 4 dormitorios,Malvin
Más de 4 dormitorios en Pocitos,450000,158.0,Más de 4 dormitorios,Pocitos
4 Dormitorios en Carrasco,450000,650.0,4 Dormitorios,Carrasco
Más de 4 dormitorios en Pocitos,450000,194.0,Más de 4 dormitorios,Pocitos
3 Dormitorios en Colon,450000,300.0,3 Dormitorios,Colon
4 Dormitorios en Prado,450000,388.0,4 Dormitorios,Prado
Más de 4 dormitorios en Pocitos,450000,228.0,Más de 4 dormitorios,Pocitos
3 Dormitorios en La Comercial,450000,180.0,3 Dormitorios,La Comercial
Más de 4 dormitorios en Prado,450000,260.0,Más de 4 dormitorios,Prado
4 Dormitorios en Punta Gorda,450000,750.0,4 Dormitorios,Punta Gorda
Más de 4 dormitorios en Parque Rodo,450000,236.0,Más de 4 dormitorios,Parque Rodo
4 Dormitorios en Prado,450000,275.0,4 Dormitorios,Prado
4 Dormitorios en Parque Batlle,450000,252.0,4 Dormitorios,Parque Batlle
4 Dormitorios en Malvin,450000,,4 Dormitorios,Malvin
4 Dormitorios en Prado,450000,170.0,4 Dormitorios,Prado
Más de 4 dormitorios en Prado,450000,260.0,Más de 4 dormitorios,Prado
Más de 4 dormitorios en Parque Rodo,450000,236.0,Más de 4 dormitorios,Parque Rodo
3 Dormitorios en Prado,450000,559.0,3 Dormitorios,Prado
3 Dormitorios en Carrasco,450000,223.0,3 Dormitorios,Carrasco
3 Dormitorios en Pocitos,450000,150.0,3 Dormitorios,Pocitos
4 Dormitorios en Jacinto Vera,450000,280.0,4 Dormitorios,Jacinto Vera
