desc,valor,url,lat,lng
2 Dormitorios,U$S 198.000,https://www.gallito.com.uy/casa-en-la-barra-a-200-metros-del-mar-inmuebles-20041149,-34.91365,-54.86185
2 Dormitorios,U$S 198.000,https://www.gallito.com.uy/casa-en-la-barra-a-tan-solo-200-metros-del-mar-inmuebles-20056040,-34.91365,-54.86185
3 Dormitorios,U$S 198.000,https://www.gallito.com.uy/casa-cerca-de-todo-inmuebles-18649888,,
2 Dormitorios,U$S 198.000,https://www.gallito.com.uy/casa-en-la-barra-a-200-metros-del-mar-inmuebles-20093502,-34.91365,-54.86185
3 Dormitorios - 100 m2,U$S 198.000,https://www.gallito.com.uy/casa-en-pinares-punta-del-este-ref-3713-inmuebles-19365420,-34.91146,-54.99526
3 Dormitorios,U$S 198.000,https://www.gallito.com.uy/casa-cerca-de-todo-inmuebles-18626634,,
3 Dormitorios,U$S 198.000,https://www.gallito.com.uy/casa-en-complejo-inmuebles-19848127,,
2 Dormitorios,U$S 198.000,https://www.gallito.com.uy/casa-en-la-barra-a-200-metros-del-mar-inmuebles-20105046,-34.91365,-54.86185
4 Dormitorios,U$S 199.000,https://www.gallito.com.uy/zona-residencial-inmuebles-18266037,,
2 Dormitorios,U$S 200.000,https://www.gallito.com.uy/oportunidad-chihuahua-inmuebles-20146194,-34.87345,-55.08182
3 Dormitorios,U$S 200.000,https://www.gallito.com.uy/casa-en-beverly-hills-3-dormitorios-inmuebles-16664057,,
2 Dormitorios,U$S 200.000,https://www.gallito.com.uy/casa-en-alquiler-y-venta-la-barra-inmuebles-19890555,,
3 Dormitorios,U$S 200.000,https://www.gallito.com.uy/hermosa-casa-en-venta-inmuebles-17950695,,
2 Dormitorios - 71 m2,U$S 200.000,https://www.gallito.com.uy/2-dormitorios-punta-del-este-inmuebles-19872243,-34.93688,-54.92815
2 Dormitorios,U$S 200.000,https://www.gallito.com.uy/casa-en-venta-la-barra-2-dormitorios-inmuebles-17750357,-34.9156,-54.86504
3 Dormitorios - 90 m2,U$S 205.000,https://www.gallito.com.uy/alquiler-temporal-anual-toda-equipada-tal-cual-inmuebles-18297258,-34.92498,-54.91824
2 Dormitorios - 80 m2,U$S 205.000,https://www.gallito.com.uy/2-dormitorios-buenos-aires-inmuebles-19872171,-34.93566,-54.94963
2 Dormitorios - 80 m2,U$S 205.000,https://www.gallito.com.uy/venta-de-casa-2-dormitorios-punta-del-este2244-inmuebles-17147000,-34.918,-54.97659
2 Dormitorios - 121 m2,U$S 205.000,https://www.gallito.com.uy/2-dormitorios-tio-tom-inmuebles-18683437,-38.71832,-62.26635
3 Dormitorios - 142 m2,U$S 210.000,https://www.gallito.com.uy/venta-casa-3-dorm-barbacoa-jardin-pinares-kosak-punta-deles-inmuebles-19478725,-34.91648,-54.9778
3 Dormitorios,U$S 210.000,https://www.gallito.com.uy/jardines-de-cã³rdoba-inmuebles-20040311,,
2 Dormitorios,U$S 210.000,https://www.gallito.com.uy/la-barra-excelente-ubicacion-inmuebles-18392140,,
3 Dormitorios - 400 m2,U$S 218.000,https://www.gallito.com.uy/casa-en-punta-del-este-inmuebles-18341994,,
3 Dormitorios,U$S 218.000,https://www.gallito.com.uy/venta-casa-en-punta-del-este-playa-mansa-3-dormitorios-inmuebles-18980578,,
3 Dormitorios,U$S 218.000,https://www.gallito.com.uy/casa-en-venta-mansa-inmuebles-19895585,,
