desc,valor,metraje,url,lat,lng
2 Dormitorios en Belvedere,U$S 55.000,103.0,https://www.gallito.com.uy/casa-padron-unico-inmuebles-17911675,,
2 Dormitorios en Malvin Norte,U$S 55.000,70.0,https://www.gallito.com.uy/vendo-casa-2-dorm-baño-cocina-comedor-us-55000-zumfelde-inmuebles-18029066,-34.87088,-56.10688
2 Dormitorios en J. Hipodromo,U$S 55.000,80.0,https://www.gallito.com.uy/hermoso-fondo-privado-casa-buena-construccion-inmuebles-13205702,,
2 Dormitorios en Belvedere,U$S 55.000,100.0,https://www.gallito.com.uy/casa-padron-unico-inmuebles-17886305,,
2 Dormitorios en Lezica,U$S 55.000,52.0,https://www.gallito.com.uy/buena-propiedad-en-padron-unico-inmuebles-19173484,,
2 Dormitorios en Piedras Blancas,U$S 55.000,100.0,https://www.gallito.com.uy/imponente-precio-casa-se-vende-en-piedras-blancas-inmuebles-20086321,-32.87555,-56.02015
3 Dormitorios en Sayago,U$S 55.000,136.0,https://www.gallito.com.uy/casa-3-dormitorios-alquilada-cgn-y-posibilidad-2-aptos-inmuebles-20007472,-34.84176,-56.21649
2 Dormitorios en Peñarol,U$S 55.000,44.0,https://www.gallito.com.uy/proxima-a-cnel-raiz-con-posibilidad-de-entrada-de-auto-inmuebles-16030514,-34.819,-56.20078
2 Dormitorios en Lezica,U$S 55.000,52.0,https://www.gallito.com.uy/padron-unico-muy-prolija-inmuebles-17906495,,
2 Dormitorios en Sayago,U$S 55.000,55.0,https://www.gallito.com.uy/casa-en-ph-al-fondo-de-planchada-si-banco-inmuebles-20000726,-34.83655,-56.19808
2 Dormitorios en Colon,U$S 55.000,70.0,https://www.gallito.com.uy/complejo-duplex-2-dorm-uss-55000-s-7600-monoambiente-inmuebles-16224847,0.0,0.0
3 Dormitorios en Buceo,U$S 55.555,,https://www.gallito.com.uy/se-permuta-taxis-en-tulu-valle-colombia-por-casa-inmuebles-20097550,-34.90932,-56.19404
2 Dormitorios en Cerrito,U$S 56.000,54.0,https://www.gallito.com.uy/propiedad-con-mucho-potencial-cerrito-inmuebles-20086148,-34.85643,-56.17049
1 Dormitorio en Union,U$S 56.000,45.0,https://www.gallito.com.uy/casa-jardin-lugar-auto-rejas-perimetrales-inmuebles-17284143,-34.86425,-56.13854
