desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
2 Dormitorios en Paso De La Arena,90000,200.0,https://www.gallito.com.uy/vende-casa-nueva-2-dormitorios-terreno-de-515-m2-inmuebles-21148323,-34.81895,-56.30039,2 Dormitorios,Paso De La Arena,Paso de la Arena,57.0
2 Dormitorios en Colon,90000,65.0,https://www.gallito.com.uy/casa-con-area-verde-inmuebles-15313195,,,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
3 Dormitorios en Cordon,90000,85.0,https://www.gallito.com.uy/venta-casa-cordon-3-dormitorios-inmuebles-18417964,-34.89873,-56.1856,3 Dormitorios,Cordon,Cordón,4.0
3 Dormitorios en Las Acacias,90000,90.0,https://www.gallito.com.uy/venta-casa-tres-dormitorios-las-acacias-inmuebles-20848549,-34.84152,-56.15634,3 Dormitorios,Las Acacias,Las Acacias,28.0
2 Dormitorios en Aires Puros,90000,110.0,https://www.gallito.com.uy/casa-2-dormitorios-monoambiente-pentalpha-inmuebles-18436991,,,2 Dormitorios,Aires Puros,Aires Puros,29.0
2 Dormitorios en Cerrito,90000,70.0,https://www.gallito.com.uy/hermosa-casa-con-gran-potencial-inmuebles-15357824,-34.85236,-56.1646,2 Dormitorios,Cerrito,Cerrito,27.0
2 Dormitorios en Brazo Oriental,90000,85.0,https://www.gallito.com.uy/a-machado-prox-gral-flores-ph-amplio-dorm-gran-gge-patio-inmuebles-20198140,,,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
2 Dormitorios en Malvin Norte,90000,63.0,https://www.gallito.com.uy/excelente-propiedad-en-renta-inmuebles-20737012,-34.86739,-56.11846,2 Dormitorios,Malvin Norte,Malvín Norte,12.0
3 Dormitorios en Maroñas,90000,357.0,https://www.gallito.com.uy/padron-unico-frente-a-hipodromo-inmuebles-15071030,,,3 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
1 Dormitorio en Prado,90000,47.0,https://www.gallito.com.uy/oportunidad-casa-esquina-con-muy-lindo-entorno-inmuebles-20435844,-34.85575,-56.19222,1 Dormitorio,Prado,"Prado, Nueva Savona",39.0
2 Dormitorios en Otro,90000,83.0,https://www.gallito.com.uy/venta-dieulafoy-casa-esquina-inmuebles-21093199,,,2 Dormitorios,Otro,,
2 Dormitorios en Cerrito,90000,85.0,https://www.gallito.com.uy/hermosa-impecable-nada-para-hacerle-inmuebles-17612991,,,2 Dormitorios,Cerrito,Cerrito,27.0
3 Dormitorios en Las Acacias,90000,59.0,https://www.gallito.com.uy/casa-en-venta-inmuebles-20812762,-34.83614,-56.14672,3 Dormitorios,Las Acacias,Las Acacias,28.0
2 Dormitorios en Nuevo Paris,90000,70.0,https://www.gallito.com.uy/refor-vende-en-nuevo-paris-inmuebles-19654423,-34.84815,-56.2396,2 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0
3 Dormitorios en Pajas Blancas,90000,100.0,https://www.gallito.com.uy/refor-vende-casa-amplia-en-pajas-blancas-inmuebles-19979244,-34.86743,-56.33772,3 Dormitorios,Pajas Blancas,Nuevo París,55.0
1 Dormitorio en Brazo Oriental,90000,64.0,https://www.gallito.com.uy/zona-bulevar-y-gral-flores-inmuebles-20198015,-34.87159,-56.17829,1 Dormitorio,Brazo Oriental,Brazo Oriental,51.0
2 Dormitorios en Nuevo Paris,90000,60.0,https://www.gallito.com.uy/venta-casa-nuevo-paris-2dor-1baño-parri-jardin-inmuebles-20923824,-34.83818,-56.25305,2 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0
2 Dormitorios en La Comercial,90000,90.0,https://www.gallito.com.uy/venta-casa-la-comercial-inmuebles-20806654,-34.89123,-56.17952,2 Dormitorios,La Comercial,La Comercial,49.0
2 Dormitorios en Nuevo Paris,90000,110.0,https://www.gallito.com.uy/linda-con-fondo-y-garaje-inmuebles-17520813,-34.84393,-56.23116,2 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0
2 Dormitorios en Union,90000,,https://www.gallito.com.uy/fray-bentos-casi-vera-inmuebles-21055922,,,2 Dormitorios,Union,Unión,23.0
2 Dormitorios en Maroñas,90000,90.0,https://www.gallito.com.uy/casa-con-cochera-jardin-y-patio-mas-apto-inmuebles-20947414,,,2 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
1 Dormitorio en Peñarol,90000,105.0,https://www.gallito.com.uy/oportunidad-venta-de-casa-en-peñarol-inmuebles-16907703,-34.82469,-56.19969,1 Dormitorio,Peñarol,"Peñarol, Lavalleja",34.0
2 Dormitorios en Paso De La Arena,90000,125.0,https://www.gallito.com.uy/venta-casa-con-terreno-1750-m2-paso-de-la-arena-inmuebles-20769419,-34.84632,-56.28165,2 Dormitorios,Paso De La Arena,Paso de la Arena,57.0
2 Dormitorios en Brazo Oriental,90000,60.0,https://www.gallito.com.uy/lindo-chalet-2-dorm-una-planta-inmuebles-20688624,,,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
3 Dormitorios en J. Hipodromo,90000,90.0,https://www.gallito.com.uy/casa-y-apto-inmuebles-18536549,,,3 Dormitorios,J. Hipodromo,Jardines del Hipódromo,21.0
2 Dormitorios en Cerro,90000,325.0,https://www.gallito.com.uy/venta-2-casas-en-mismo-padron-cerro-inmuebles-20754938,,,2 Dormitorios,Cerro,Cerro,35.0
2 Dormitorios en Peñarol,90000,70.0,https://www.gallito.com.uy/casa-en-zona-peñarol-apta-para-prestamo-bancario-inmuebles-18007018,,,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0
2 Dormitorios en Sayago,90000,150.0,https://www.gallito.com.uy/sayago-a-100-mts-de-bvar-batlle-y-ordoñez-inmuebles-17226676,,,2 Dormitorios,Sayago,Sayago,52.0
3 Dormitorios en Villa Española,90000,100.0,https://www.gallito.com.uy/venta-de-dos-casas-en-un-solo-padron-villa-española-inmuebles-20363498,,,3 Dormitorios,Villa Española,Villa Española,24.0
2 Dormitorios en Sayago,90000,,https://www.gallito.com.uy/refor-vende-casa-en-sayago-inmuebles-20384636,-34.82872,-56.21627,2 Dormitorios,Sayago,Sayago,52.0
4 Dormitorios en Belvedere,90000,136.0,https://www.gallito.com.uy/venta-2-casas-mismo-padron-2-flias-o-inversion-inmuebles-19011445,-34.84691,-56.21663,4 Dormitorios,Belvedere,Belvedere,54.0
3 Dormitorios en Otro,90000,,https://www.gallito.com.uy/refor-vende-2-casas-en-conciliacion-inmuebles-20488228,-34.81631,-56.23298,3 Dormitorios,Otro,,
2 Dormitorios en Sayago,90000,90.0,https://www.gallito.com.uy/ifer&olivera-islas-canarias-prox-garzon-inmuebles-20981548,-34.84327,-56.22146,2 Dormitorios,Sayago,Sayago,52.0
2 Dormitorios en Paso Molino,90000,,https://www.gallito.com.uy/casa-en-ph-independiente-2-dormitorios-y-azotea-sin-gc-inmuebles-16109697,,,2 Dormitorios,Paso Molino,,
3 Dormitorios en Perez Castellanos,90000,200.0,https://www.gallito.com.uy/casa-con-fondo-y-cochera-inmuebles-20388751,,,3 Dormitorios,Perez Castellanos,"Castro, P. Castellanos",26.0
Más de 4 dormitorios en Sayago,91000,72.0,https://www.gallito.com.uy/venta-casa-cuatro-dormitorios-sayago-inmuebles-21132914,-34.83712,-56.2172,Más de 4 dormitorios,Sayago,Sayago,52.0
