desc,valor,metraje,url
3 Dormitorios en Pocitos,U$S 190.000,120,https://www.gallito.com.uy/gran-oportunidad-casa-de-tres-dormitorios-con-renta-inmuebles-20324391
4 Dormitorios en Cordon,U$S 194.000,90,https://www.gallito.com.uy/ph-de-altos-entrada-independiente-cordon-sur-inmuebles-18211005
3 Dormitorios en Cordon,U$S 194.000,,https://www.gallito.com.uy/ph-de-altos-entrada-independiente-cordon-sur-inmuebles-17106438
Más de 4 dormitorios en Jacinto Vera,U$S 195.000,325,https://www.gallito.com.uy/vende-casa-de-325-m2-con-fondo-2-entradas-acepta-banco-inmuebles-20731854
4 Dormitorios en Reducto,U$S 195.000,158,https://www.gallito.com.uy/casablanca-padron-unico-a-pasos-de-avenidas-inmuebles-20888526
3 Dormitorios en Palermo,U$S 195.000,111,https://www.gallito.com.uy/venta-de-casa-3-dormitorios-en-palermo-inmuebles-20548841
3 Dormitorios en Palermo,U$S 195.000,111,https://www.gallito.com.uy/centa-casa-palermo-3-dormitorios-inmuebles-20997325
3 Dormitorios en Brazo Oriental,U$S 197.000,190,https://www.gallito.com.uy/gran-casa-en-padron-unico-sobre-san-martin-a-mts-de-avdas-inmuebles-21096921
3 Dormitorios en Union,U$S 198.000,140,https://www.gallito.com.uy/venta-casa-union-3-dormitorios-2-baños-garaje-fondo-barbacoa-inmuebles-19315286
3 Dormitorios en Prado,U$S 198.000,110,https://www.gallito.com.uy/venta-casa-prado-3-dorm-2-baños-cochera-inmuebles-21092046
3 Dormitorios en Malvin,U$S 198.000,90,https://www.gallito.com.uy/a-una-del-mar-jardin-tres-dormitorio-fondo-con-parrillero-inmuebles-21123576
3 Dormitorios en Buceo,U$S 198.000,140,https://www.gallito.com.uy/permuta-venta-casa-3-dorm-fondo-garaje-prox-avenida-italia-inmuebles-20965679
3 Dormitorios en Capurro,U$S 199.000,400,https://www.gallito.com.uy/oportunidad-venta-predio-con-proyecto-capurro-montevideo-inmuebles-19488094
3 Dormitorios en La Blanqueada,U$S 199.000,100,https://www.gallito.com.uy/venta-casa-la-blanqueada-tres-dormitorios-fondo-garaje-inmuebles-15964605
Más de 4 dormitorios en Ciudad Vieja,U$S 200.000,150,https://www.gallito.com.uy/casa-con-patio-y-apartamento-inmuebles-18367477
4 Dormitorios en Barrio Sur,U$S 200.000,,https://www.gallito.com.uy/venta-casa-barrio-sur-4-dormitorios-con-garage-inmuebles-21043028
2 Dormitorios en La Blanqueada,U$S 205.000,107,https://www.gallito.com.uy/casa-2-dormitorios-2-baños-patio-con-barbacoa-inmuebles-20888172
Más de 4 dormitorios en Prado,U$S 210.000,184,https://www.gallito.com.uy/casablanca-espectacular-punto-interesante-pu-inmuebles-18692104
Más de 4 dormitorios en Cordon,U$S 210.000,150,https://www.gallito.com.uy/dueño-vende-ideal-empresa-o-familia-buena-ubicacion-inmuebles-20929791
4 Dormitorios en Jacinto Vera,U$S 210.000,174,https://www.gallito.com.uy/vm-asesores-inmobiliarios-vende-casa-en-jacinto-vera-inmuebles-20731079
4 Dormitorios en Capurro,U$S 210.000,95,https://www.gallito.com.uy/casablanca-padron-unico-casa-con-hermoso-entorno-inmuebles-21042986
2 Dormitorios en Pocitos,U$S 210.000,62,https://www.gallito.com.uy/vendo-casa-en-pocitos-inmuebles-20680821
3 Dormitorios en Parque Batlle,U$S 210.000,70,https://www.gallito.com.uy/venta-casa-3-dormitorios-barbacoa-parque-batlle-inmuebles-20697881
2 Dormitorios en Buceo,U$S 215.000,70,https://www.gallito.com.uy/muy-linda-casa-a-pasos-de-mdeo-shopping-y-wtc-excelente-ubic-inmuebles-20167003
2 Dormitorios en Buceo,U$S 215.000,69,https://www.gallito.com.uy/excelente-ubicacion-a-pasos-del-wtc-y-montevideo-shopping-inmuebles-20090412
2 Dormitorios en Buceo,U$S 215.000,75,https://www.gallito.com.uy/casa-a-estrenar-en-buceo-2-dorm-patio-y-cochera-inmuebles-20703077
3 Dormitorios en La Blanqueada,U$S 215.000,97,https://www.gallito.com.uy/casa-de-3-dormitorios-con-garage-y-patio-con-parrillero-inmuebles-20524733
2 Dormitorios en Buceo,U$S 219.000,150,https://www.gallito.com.uy/padron-unico-en-buceo-casa-y-terreno-para-varios-autos-inmuebles-20670608
4 Dormitorios en Aguada,U$S 220.000,186,https://www.gallito.com.uy/casa-en-venta-inmuebles-18555059
3 Dormitorios en Buceo,U$S 220.000,93,https://www.gallito.com.uy/venta-casa-en-buceo-3-dorm-1-baño-garaje-inmuebles-21109920
Más de 4 dormitorios en Aguada,U$S 220.000,272,https://www.gallito.com.uy/casa-venta-aguada-montevideo-imasuy-r-inmuebles-19487978
3 Dormitorios en Pocitos,U$S 220.000,131,https://www.gallito.com.uy/proxima-club-bohemios-inmuebles-20320230
3 Dormitorios en Malvin,U$S 220.000,100,https://www.gallito.com.uy/excelente-oportunidad-toda-1-planta-inmuebles-19098887
3 Dormitorios en Atahualpa,U$S 222.000,,https://www.gallito.com.uy/sobre-carmelo-casa-en-padron-unico-360-mts2-de-area-total-inmuebles-20097400
3 Dormitorios en Cordon,U$S 225.000,130,https://www.gallito.com.uy/venta-casa-cordon-tres-dormitorios-2-baños-jardin-cochera-inmuebles-15295050
